date,brand,date_type,day_of_week,cnt,date_map,day_of_year,week_of_year
15,9,2,2,445,2013-01-15,15,3
15,10,2,2,669,2013-01-15,15,3
16,1,2,3,611,2013-01-16,16,3
16,2,2,3,371,2013-01-16,16,3
16,3,2,3,305,2013-01-16,16,3
16,4,2,3,305,2013-01-16,16,3
16,6,2,3,194,2013-01-16,16,3
16,7,2,3,240,2013-01-16,16,3
16,9,2,3,401,2013-01-16,16,3
16,10,2,3,456,2013-01-16,16,3
17,1,2,4,663,2013-01-17,17,3
17,2,2,4,1094,2013-01-17,17,3
17,3,2,4,575,2013-01-17,17,3
17,4,2,4,735,2013-01-17,17,3
17,6,2,4,588,2013-01-17,17,3
17,7,2,4,802,2013-01-17,17,3
17,8,2,4,116,2013-01-17,17,3
17,9,2,4,1002,2013-01-17,17,3
17,10,2,4,1680,2013-01-17,17,3
18,1,2,5,424,2013-01-18,18,3
18,2,2,5,371,2013-01-18,18,3
18,3,2,5,366,2013-01-18,18,3
18,4,2,5,627,2013-01-18,18,3
18,6,2,5,204,2013-01-18,18,3
18,7,2,5,206,2013-01-18,18,3
18,8,2,5,76,2013-01-18,18,3
18,9,2,5,405,2013-01-18,18,3
18,10,2,5,680,2013-01-18,18,3
19,1,3,6,94,2013-01-19,19,3
19,3,3,6,196,2013-01-19,19,3
19,4,3,6,65,2013-01-19,19,3
19,6,3,6,18,2013-01-19,19,3
19,7,3,6,32,2013-01-19,19,3
19,9,3,6,46,2013-01-19,19,3
19,10,3,6,26,2013-01-19,19,3
20,1,3,7,27,2013-01-20,20,3
20,6,3,7,5,2013-01-20,20,3
20,7,3,7,28,2013-01-20,20,3
20,9,3,7,40,2013-01-20,20,3
20,10,3,7,22,2013-01-20,20,3
21,1,2,1,299,2013-01-21,21,4
21,2,2,1,318,2013-01-21,21,4
21,3,2,1,235,2013-01-21,21,4
21,4,2,1,819,2013-01-21,21,4
21,6,2,1,185,2013-01-21,21,4
21,7,2,1,129,2013-01-21,21,4
21,8,2,1,76,2013-01-21,21,4
21,9,2,1,552,2013-01-21,21,4
21,10,2,1,1071,2013-01-21,21,4
22,1,2,2,686,2013-01-22,22,4
22,2,2,2,166,2013-01-22,22,4
22,3,2,2,98,2013-01-22,22,4
22,4,2,2,610,2013-01-22,22,4
22,6,2,2,166,2013-01-22,22,4
22,7,2,2,322,2013-01-22,22,4
22,8,2,2,63,2013-01-22,22,4
22,9,2,2,583,2013-01-22,22,4
22,10,2,2,618,2013-01-22,22,4
23,1,2,3,582,2013-01-23,23,4
23,2,2,3,124,2013-01-23,23,4
23,3,2,3,305,2013-01-23,23,4
23,4,2,3,447,2013-01-23,23,4
23,6,2,3,122,2013-01-23,23,4
23,7,2,3,120,2013-01-23,23,4
23,8,2,3,30,2013-01-23,23,4
23,9,2,3,387,2013-01-23,23,4
23,10,2,3,865,2013-01-23,23,4
24,1,2,4,320,2013-01-24,24,4
24,2,2,4,97,2013-01-24,24,4
24,3,2,4,192,2013-01-24,24,4
24,4,2,4,447,2013-01-24,24,4
24,6,2,4,135,2013-01-24,24,4
24,7,2,4,212,2013-01-24,24,4
24,8,2,4,46,2013-01-24,24,4
24,9,2,4,315,2013-01-24,24,4
24,10,2,4,491,2013-01-24,24,4
25,1,2,5,374,2013-01-25,25,4
25,2,2,5,345,2013-01-25,25,4
25,3,2,5,209,2013-01-25,25,4
25,4,2,5,192,2013-01-25,25,4
25,6,2,5,166,2013-01-25,25,4
25,7,2,5,180,2013-01-25,25,4
25,9,2,5,368,2013-01-25,25,4
25,10,2,5,329,2013-01-25,25,4
26,1,3,6,62,2013-01-26,26,4
26,4,3,6,22,2013-01-26,26,4
26,6,3,6,6,2013-01-26,26,4
26,7,3,6,32,2013-01-26,26,4
26,9,3,6,46,2013-01-26,26,4
26,10,3,6,51,2013-01-26,26,4
27,1,3,7,27,2013-01-27,27,4
28,1,2,1,424,2013-01-28,28,5
28,2,2,1,239,2013-01-28,28,5
28,3,2,1,470,2013-01-28,28,5
28,4,2,1,767,2013-01-28,28,5
28,6,2,1,147,2013-01-28,28,5
28,7,2,1,206,2013-01-28,28,5
28,8,2,1,25,2013-01-28,28,5
28,9,2,1,503,2013-01-28,28,5
28,10,2,1,968,2013-01-28,28,5
29,1,2,2,780,2013-01-29,29,5
29,2,2,2,365,2013-01-29,29,5
29,3,2,2,261,2013-01-29,29,5
29,4,2,2,697,2013-01-29,29,5
29,6,2,2,196,2013-01-29,29,5
29,7,2,2,257,2013-01-29,29,5
29,8,2,2,63,2013-01-29,29,5
29,9,2,2,552,2013-01-29,29,5
29,10,2,2,618,2013-01-29,29,5
30,1,2,3,524,2013-01-30,30,5
30,2,2,3,526,2013-01-30,30,5
30,3,2,3,366,2013-01-30,30,5
30,4,2,3,508,2013-01-30,30,5
30,6,2,3,188,2013-01-30,30,5
30,7,2,3,270,2013-01-30,30,5
30,8,2,3,89,2013-01-30,30,5
30,9,2,3,544,2013-01-30,30,5
30,10,2,3,601,2013-01-30,30,5
31,1,2,4,343,2013-01-31,31,5
31,2,2,4,340,2013-01-31,31,5
31,3,2,4,264,2013-01-31,31,5
31,4,2,4,224,2013-01-31,31,5
31,6,2,4,148,2013-01-31,31,5
31,7,2,4,212,2013-01-31,31,5
31,9,2,4,439,2013-01-31,31,5
31,10,2,4,604,2013-01-31,31,5
32,1,2,5,524,2013-02-01,32,5
32,2,2,5,345,2013-02-01,32,5
32,3,2,5,366,2013-02-01,32,5
32,4,2,5,523,2013-02-01,32,5
32,6,2,5,185,2013-02-01,32,5
32,7,2,5,232,2013-02-01,32,5
32,8,2,5,51,2013-02-01,32,5
32,9,2,5,466,2013-02-01,32,5
32,10,2,5,515,2013-02-01,32,5
33,1,3,6,62,2013-02-02,33,5
33,2,3,6,33,2013-02-02,33,5
33,4,3,6,44,2013-02-02,33,5
33,6,3,6,6,2013-02-02,33,5
33,7,3,6,32,2013-02-02,33,5
33,8,3,6,32,2013-02-02,33,5
33,9,3,6,92,2013-02-02,33,5
33,10,3,6,51,2013-02-02,33,5
34,6,3,7,5,2013-02-03,34,5
34,9,3,7,27,2013-02-03,34,5
35,1,2,1,898,2013-02-04,35,6
35,2,2,1,663,2013-02-04,35,6
35,3,2,1,392,2013-02-04,35,6
35,4,2,1,802,2013-02-04,35,6
35,6,2,1,209,2013-02-04,35,6
35,7,2,1,386,2013-02-04,35,6
35,8,2,1,25,2013-02-04,35,6
35,9,2,1,835,2013-02-04,35,6
35,10,2,1,1071,2013-02-04,35,6
36,1,2,2,499,2013-02-05,36,6
36,2,2,2,630,2013-02-05,36,6
36,3,2,2,196,2013-02-05,36,6
36,4,2,2,871,2013-02-05,36,6
36,6,2,2,214,2013-02-05,36,6
36,7,2,2,322,2013-02-05,36,6
36,8,2,2,127,2013-02-05,36,6
36,9,2,2,813,2013-02-05,36,6
36,10,2,2,978,2013-02-05,36,6
37,1,2,3,902,2013-02-06,37,6
37,2,2,3,588,2013-02-06,37,6
37,3,2,3,305,2013-02-06,37,6
37,4,2,3,976,2013-02-06,37,6
37,6,2,3,283,2013-02-06,37,6
37,7,2,3,270,2013-02-06,37,6
37,8,2,3,30,2013-02-06,37,6
37,9,2,3,759,2013-02-06,37,6
37,10,2,3,1129,2013-02-06,37,6
38,1,2,4,503,2013-02-07,38,6
38,2,2,4,365,2013-02-07,38,6
38,3,2,4,216,2013-02-07,38,6
38,4,2,4,479,2013-02-07,38,6
38,6,2,4,183,2013-02-07,38,6
38,7,2,4,118,2013-02-07,38,6
38,8,2,4,23,2013-02-07,38,6
38,9,2,4,720,2013-02-07,38,6
38,10,2,4,717,2013-02-07,38,6
39,1,2,5,100,2013-02-08,39,6
39,2,2,5,159,2013-02-08,39,6
39,3,2,5,26,2013-02-08,39,6
39,4,2,5,174,2013-02-08,39,6
39,6,2,5,57,2013-02-08,39,6
39,7,2,5,77,2013-02-08,39,6
39,9,2,5,135,2013-02-08,39,6
39,10,2,5,185,2013-02-08,39,6
40,9,1,4,11,2013-02-14,45,7
40,10,1,4,19,2013-02-14,45,7
41,7,1,5,26,2013-02-15,46,7
42,1,0,6,842,2013-02-16,47,7
42,2,0,6,332,2013-02-16,47,7
42,3,0,6,229,2013-02-16,47,7
42,4,0,6,762,2013-02-16,47,7
42,6,0,6,160,2013-02-16,47,7
42,7,0,6,32,2013-02-16,47,7
42,9,0,6,614,2013-02-16,47,7
42,10,0,6,746,2013-02-16,47,7
43,1,0,7,946,2013-02-17,48,7
43,2,0,7,316,2013-02-17,48,7
43,3,0,7,57,2013-02-17,48,7
43,4,0,7,812,2013-02-17,48,7
43,6,0,7,165,2013-02-17,48,7
43,9,0,7,598,2013-02-17,48,7
43,10,0,7,602,2013-02-17,48,7
44,1,2,1,599,2013-02-18,49,8
44,2,2,1,186,2013-02-18,49,8
44,3,2,1,105,2013-02-18,49,8
44,4,2,1,488,2013-02-18,49,8
44,6,2,1,147,2013-02-18,49,8
44,7,2,1,26,2013-02-18,49,8
44,8,2,1,25,2013-02-18,49,8
44,9,2,1,479,2013-02-18,49,8
44,10,2,1,432,2013-02-18,49,8
45,1,2,2,624,2013-02-19,50,8
45,2,2,2,199,2013-02-19,50,8
45,3,2,2,131,2013-02-19,50,8
45,4,2,2,348,2013-02-19,50,8
45,6,2,2,131,2013-02-19,50,8
45,7,2,2,193,2013-02-19,50,8
45,8,2,2,32,2013-02-19,50,8
45,9,2,2,644,2013-02-19,50,8
45,10,2,2,309,2013-02-19,50,8
46,1,2,3,553,2013-02-20,51,8
46,2,2,3,371,2013-02-20,51,8
46,3,2,3,122,2013-02-20,51,8
46,4,2,3,468,2013-02-20,51,8
46,6,2,3,144,2013-02-20,51,8
46,7,2,3,150,2013-02-20,51,8
46,8,2,3,30,2013-02-20,51,8
46,9,2,3,530,2013-02-20,51,8
46,10,2,3,408,2013-02-20,51,8
47,1,2,4,480,2013-02-21,52,8
47,2,2,4,170,2013-02-21,52,8
47,3,2,4,120,2013-02-21,52,8
47,4,2,4,351,2013-02-21,52,8
47,6,2,4,118,2013-02-21,52,8
47,7,2,4,118,2013-02-21,52,8
47,8,2,4,46,2013-02-21,52,8
47,9,2,4,360,2013-02-21,52,8
47,10,2,4,434,2013-02-21,52,8
48,1,2,5,374,2013-02-22,53,8
48,2,2,5,186,2013-02-22,53,8
48,3,2,5,131,2013-02-22,53,8
48,4,2,5,418,2013-02-22,53,8
48,6,2,5,105,2013-02-22,53,8
48,7,2,5,77,2013-02-22,53,8
48,9,2,5,466,2013-02-22,53,8
48,10,2,5,268,2013-02-22,53,8
49,6,3,6,6,2013-02-23,54,8
49,7,3,6,32,2013-02-23,54,8
49,9,3,6,15,2013-02-23,54,8
49,10,3,6,26,2013-02-23,54,8
50,9,3,7,13,2013-02-24,55,8
51,1,2,1,424,2013-02-25,56,9
51,2,2,1,292,2013-02-25,56,9
51,3,2,1,105,2013-02-25,56,9
51,4,2,1,592,2013-02-25,56,9
51,6,2,1,124,2013-02-25,56,9
51,7,2,1,129,2013-02-25,56,9
51,9,2,1,368,2013-02-25,56,9
51,10,2,1,227,2013-02-25,56,9
52,1,2,2,312,2013-02-26,57,9
52,2,2,2,199,2013-02-26,57,9
52,3,2,2,229,2013-02-26,57,9
52,4,2,2,436,2013-02-26,57,9
52,6,2,2,143,2013-02-26,57,9
52,7,2,2,97,2013-02-26,57,9
52,9,2,2,491,2013-02-26,57,9
52,10,2,2,232,2013-02-26,57,9
53,1,2,3,204,2013-02-27,58,9
53,2,2,3,186,2013-02-27,58,9
53,3,2,3,152,2013-02-27,58,9
53,4,2,3,590,2013-02-27,58,9
53,6,2,3,133,2013-02-27,58,9
53,7,2,3,120,2013-02-27,58,9
53,9,2,3,272,2013-02-27,58,9
53,10,2,3,312,2013-02-27,58,9
54,1,2,4,274,2013-02-28,59,9
54,2,2,4,24,2013-02-28,59,9
54,3,2,4,144,2013-02-28,59,9
54,4,2,4,208,2013-02-28,59,9
54,6,2,4,87,2013-02-28,59,9
54,7,2,4,165,2013-02-28,59,9
54,9,2,4,236,2013-02-28,59,9
54,10,2,4,321,2013-02-28,59,9
55,1,2,5,399,2013-03-01,60,9
55,2,2,5,80,2013-03-01,60,9
55,3,2,5,209,2013-03-01,60,9
55,4,2,5,314,2013-03-01,60,9
55,6,2,5,128,2013-03-01,60,9
55,7,2,5,51,2013-03-01,60,9
55,8,2,5,25,2013-03-01,60,9
55,9,2,5,381,2013-03-01,60,9
55,10,2,5,453,2013-03-01,60,9
56,1,3,6,31,2013-03-02,61,9
56,9,3,6,61,2013-03-02,61,9
57,1,2,1,474,2013-03-04,63,10
57,2,2,1,239,2013-03-04,63,10
57,3,2,1,209,2013-03-04,63,10
57,4,2,1,401,2013-03-04,63,10
57,6,2,1,114,2013-03-04,63,10
57,7,2,1,103,2013-03-04,63,10
57,9,2,1,466,2013-03-04,63,10
57,10,2,1,227,2013-03-04,63,10
58,1,2,2,281,2013-03-05,64,10
58,2,2,2,464,2013-03-05,64,10
58,3,2,2,229,2013-03-05,64,10
58,4,2,2,544,2013-03-05,64,10
58,6,2,2,160,2013-03-05,64,10
58,7,2,2,161,2013-03-05,64,10
58,9,2,2,384,2013-03-05,64,10
58,10,2,2,463,2013-03-05,64,10
59,1,2,3,437,2013-03-06,65,10
59,2,2,3,124,2013-03-06,65,10
59,3,2,3,91,2013-03-06,65,10
59,4,2,3,468,2013-03-06,65,10
59,6,2,3,139,2013-03-06,65,10
59,7,2,3,120,2013-03-06,65,10
59,9,2,3,573,2013-03-06,65,10
59,10,2,3,336,2013-03-06,65,10
60,1,2,4,252,2013-03-07,66,10
60,2,2,4,97,2013-03-07,66,10
60,3,2,4,168,2013-03-07,66,10
60,4,2,4,335,2013-03-07,66,10
60,6,2,4,96,2013-03-07,66,10
60,7,2,4,142,2013-03-07,66,10
60,8,2,4,23,2013-03-07,66,10
60,9,2,4,338,2013-03-07,66,10
60,10,2,4,415,2013-03-07,66,10
61,1,2,5,150,2013-03-08,67,10
61,2,2,5,133,2013-03-08,67,10
61,3,2,5,131,2013-03-08,67,10
61,4,2,5,261,2013-03-08,67,10
61,6,2,5,95,2013-03-08,67,10
61,7,2,5,180,2013-03-08,67,10
61,8,2,5,25,2013-03-08,67,10
61,9,2,5,233,2013-03-08,67,10
61,10,2,5,412,2013-03-08,67,10
62,1,3,6,94,2013-03-09,68,10
62,4,3,6,44,2013-03-09,68,10
62,6,3,6,12,2013-03-09,68,10
62,9,3,6,61,2013-03-09,68,10
62,10,3,6,51,2013-03-09,68,10
63,4,3,7,19,2013-03-10,69,10
63,6,3,7,5,2013-03-10,69,10
63,7,3,7,28,2013-03-10,69,10
63,9,3,7,27,2013-03-10,69,10
63,10,3,7,22,2013-03-10,69,10
64,1,2,1,299,2013-03-11,70,11
64,2,2,1,398,2013-03-11,70,11
64,3,2,1,287,2013-03-11,70,11
64,4,2,1,732,2013-03-11,70,11
64,6,2,1,124,2013-03-11,70,11
64,7,2,1,154,2013-03-11,70,11
64,9,2,1,368,2013-03-11,70,11
64,10,2,1,371,2013-03-11,70,11
65,1,2,2,499,2013-03-12,71,11
65,2,2,2,199,2013-03-12,71,11
65,3,2,2,229,2013-03-12,71,11
65,4,2,2,436,2013-03-12,71,11
65,6,2,2,71,2013-03-12,71,11
65,7,2,2,225,2013-03-12,71,11
65,9,2,2,384,2013-03-12,71,11
65,10,2,2,489,2013-03-12,71,11
66,1,2,3,175,2013-03-13,72,11
66,2,2,3,31,2013-03-13,72,11
66,3,2,3,183,2013-03-13,72,11
66,4,2,3,407,2013-03-13,72,11
66,6,2,3,89,2013-03-13,72,11
66,7,2,3,150,2013-03-13,72,11
66,8,2,3,30,2013-03-13,72,11
66,9,2,3,387,2013-03-13,72,11
66,10,2,3,384,2013-03-13,72,11
67,1,2,4,297,2013-03-14,73,11
67,2,2,4,73,2013-03-14,73,11
67,3,2,4,168,2013-03-14,73,11
67,4,2,4,303,2013-03-14,73,11
67,6,2,4,131,2013-03-14,73,11
67,7,2,4,71,2013-03-14,73,11
67,8,2,4,23,2013-03-14,73,11
67,9,2,4,236,2013-03-14,73,11
67,10,2,4,283,2013-03-14,73,11
68,1,2,5,225,2013-03-15,74,11
68,2,2,5,159,2013-03-15,74,11
68,3,2,5,209,2013-03-15,74,11
68,4,2,5,261,2013-03-15,74,11
68,6,2,5,157,2013-03-15,74,11
68,7,2,5,206,2013-03-15,74,11
68,9,2,5,282,2013-03-15,74,11
68,10,2,5,329,2013-03-15,74,11
69,3,3,6,33,2013-03-16,75,11
69,6,3,6,6,2013-03-16,75,11
69,9,3,6,46,2013-03-16,75,11
69,10,3,6,26,2013-03-16,75,11
70,1,3,7,54,2013-03-17,76,11
70,6,3,7,5,2013-03-17,76,11
71,1,2,1,474,2013-03-18,77,12
71,2,2,1,27,2013-03-18,77,12
71,3,2,1,131,2013-03-18,77,12
71,4,2,1,470,2013-03-18,77,12
71,6,2,1,143,2013-03-18,77,12
71,7,2,1,180,2013-03-18,77,12
71,8,2,1,25,2013-03-18,77,12
71,9,2,1,466,2013-03-18,77,12
71,10,2,1,391,2013-03-18,77,12
72,1,2,2,437,2013-03-19,78,12
72,2,2,2,199,2013-03-19,78,12
72,3,2,2,229,2013-03-19,78,12
72,4,2,2,457,2013-03-19,78,12
72,6,2,2,143,2013-03-19,78,12
72,7,2,2,161,2013-03-19,78,12
72,8,2,2,32,2013-03-19,78,12
72,9,2,2,598,2013-03-19,78,12
72,10,2,2,335,2013-03-19,78,12
73,1,2,3,262,2013-03-20,79,12
73,2,2,3,186,2013-03-20,79,12
73,3,2,3,244,2013-03-20,79,12
73,4,2,3,346,2013-03-20,79,12
73,6,2,3,100,2013-03-20,79,12
73,7,2,3,240,2013-03-20,79,12
73,9,2,3,358,2013-03-20,79,12
73,10,2,3,240,2013-03-20,79,12
74,1,2,4,229,2013-03-21,80,12
74,2,2,4,243,2013-03-21,80,12
74,3,2,4,192,2013-03-21,80,12
74,4,2,4,367,2013-03-21,80,12
74,6,2,4,126,2013-03-21,80,12
74,7,2,4,142,2013-03-21,80,12
74,8,2,4,70,2013-03-21,80,12
74,9,2,4,259,2013-03-21,80,12
74,10,2,4,359,2013-03-21,80,12
75,1,2,5,374,2013-03-22,81,12
75,2,2,5,212,2013-03-22,81,12
75,3,2,5,157,2013-03-22,81,12
75,4,2,5,418,2013-03-22,81,12
75,6,2,5,95,2013-03-22,81,12
75,7,2,5,154,2013-03-22,81,12
75,9,2,5,209,2013-03-22,81,12
75,10,2,5,371,2013-03-22,81,12
76,1,3,6,31,2013-03-23,82,12
76,4,3,6,44,2013-03-23,82,12
76,7,3,6,64,2013-03-23,82,12
76,9,3,6,15,2013-03-23,82,12
76,10,3,6,51,2013-03-23,82,12
77,1,3,7,27,2013-03-24,83,12
78,1,2,1,274,2013-03-25,84,13
78,2,2,1,80,2013-03-25,84,13
78,3,2,1,209,2013-03-25,84,13
78,4,2,1,401,2013-03-25,84,13
78,6,2,1,119,2013-03-25,84,13
78,7,2,1,257,2013-03-25,84,13
78,9,2,1,246,2013-03-25,84,13
78,10,2,1,474,2013-03-25,84,13
79,1,2,2,312,2013-03-26,85,13
79,2,2,2,365,2013-03-26,85,13
79,3,2,2,229,2013-03-26,85,13
79,4,2,2,479,2013-03-26,85,13
79,6,2,2,184,2013-03-26,85,13
79,7,2,2,161,2013-03-26,85,13
79,8,2,2,32,2013-03-26,85,13
79,9,2,2,322,2013-03-26,85,13
79,10,2,2,283,2013-03-26,85,13
80,1,2,3,291,2013-03-27,86,13
80,2,2,3,155,2013-03-27,86,13
80,3,2,3,61,2013-03-27,86,13
80,4,2,3,305,2013-03-27,86,13
80,6,2,3,111,2013-03-27,86,13
80,7,2,3,240,2013-03-27,86,13
80,8,2,3,30,2013-03-27,86,13
80,9,2,3,272,2013-03-27,86,13
80,10,2,3,336,2013-03-27,86,13
81,1,2,4,252,2013-03-28,87,13
81,2,2,4,146,2013-03-28,87,13
81,3,2,4,168,2013-03-28,87,13
81,4,2,4,240,2013-03-28,87,13
81,6,2,4,96,2013-03-28,87,13
81,7,2,4,142,2013-03-28,87,13
81,9,2,4,225,2013-03-28,87,13
81,10,2,4,321,2013-03-28,87,13
82,1,2,5,299,2013-03-29,88,13
82,2,2,5,371,2013-03-29,88,13
82,3,2,5,340,2013-03-29,88,13
82,4,2,5,227,2013-03-29,88,13
82,6,2,5,147,2013-03-29,88,13
82,7,2,5,283,2013-03-29,88,13
82,8,2,5,101,2013-03-29,88,13
82,9,2,5,344,2013-03-29,88,13
82,10,2,5,453,2013-03-29,88,13
83,1,3,6,62,2013-03-30,89,13
83,4,3,6,22,2013-03-30,89,13
83,6,3,6,12,2013-03-30,89,13
83,9,3,6,92,2013-03-30,89,13
83,10,3,6,26,2013-03-30,89,13
84,1,3,7,27,2013-03-31,90,13
84,10,3,7,22,2013-03-31,90,13
85,1,2,1,299,2013-04-01,91,14
85,2,2,1,186,2013-04-01,91,14
85,3,2,1,78,2013-04-01,91,14
85,4,2,1,157,2013-04-01,91,14
85,6,2,1,86,2013-04-01,91,14
85,7,2,1,26,2013-04-01,91,14
85,8,2,1,25,2013-04-01,91,14
85,9,2,1,86,2013-04-01,91,14
85,10,2,1,144,2013-04-01,91,14
86,1,2,2,312,2013-04-02,92,14
86,2,2,2,431,2013-04-02,92,14
86,3,2,2,327,2013-04-02,92,14
86,4,2,2,501,2013-04-02,92,14
86,6,2,2,160,2013-04-02,92,14
86,7,2,2,129,2013-04-02,92,14
86,8,2,2,63,2013-04-02,92,14
86,9,2,2,660,2013-04-02,92,14
86,10,2,2,592,2013-04-02,92,14
87,1,2,3,582,2013-04-03,93,14
87,2,2,3,464,2013-04-03,93,14
87,3,2,3,335,2013-04-03,93,14
87,4,2,3,366,2013-04-03,93,14
87,6,2,3,166,2013-04-03,93,14
87,7,2,3,330,2013-04-03,93,14
87,8,2,3,59,2013-04-03,93,14
87,9,2,3,587,2013-04-03,93,14
87,10,2,3,577,2013-04-03,93,14
88,1,1,4,23,2013-04-04,94,14
88,3,1,4,24,2013-04-04,94,14
88,4,1,4,16,2013-04-04,94,14
88,7,1,4,47,2013-04-04,94,14
89,4,1,5,17,2013-04-05,95,14
89,7,1,5,26,2013-04-05,95,14
89,9,1,5,12,2013-04-05,95,14
89,10,1,5,21,2013-04-05,95,14
90,6,1,6,6,2013-04-06,96,14
91,1,0,7,324,2013-04-07,97,14
91,2,0,7,287,2013-04-07,97,14
91,3,0,7,198,2013-04-07,97,14
91,4,0,7,415,2013-04-07,97,14
91,6,0,7,103,2013-04-07,97,14
91,7,0,7,167,2013-04-07,97,14
91,9,0,7,359,2013-04-07,97,14
91,10,0,7,491,2013-04-07,97,14
92,1,2,1,349,2013-04-08,98,15
92,2,2,1,159,2013-04-08,98,15
92,3,2,1,26,2013-04-08,98,15
92,4,2,1,453,2013-04-08,98,15
92,6,2,1,71,2013-04-08,98,15
92,7,2,1,180,2013-04-08,98,15
92,8,2,1,101,2013-04-08,98,15
92,9,2,1,552,2013-04-08,98,15
92,10,2,1,309,2013-04-08,98,15
93,1,2,2,374,2013-04-09,99,15
93,2,2,2,265,2013-04-09,99,15
93,3,2,2,196,2013-04-09,99,15
