date	day_of_week	brand	cnt
18	5	7	206
18	5	8	76
18	5	9	405
18	5	10	680
19	6	1	94
19	6	3	196
19	6	4	65
19	6	6	18
19	6	7	32
19	6	9	46
19	6	10	26
20	7	1	27
20	7	6	5
20	7	7	28
20	7	9	40
20	7	10	22
21	1	1	299
21	1	2	318
21	1	3	235
21	1	4	819
21	1	6	185
21	1	7	129
21	1	8	76
21	1	9	552
21	1	10	1071
22	2	1	686
22	2	2	166
22	2	3	98
22	2	4	610
22	2	6	166
22	2	7	322
22	2	8	63
22	2	9	583
22	2	10	618
23	3	1	582
23	3	2	124
23	3	3	305
23	3	4	447
23	3	6	122
23	3	7	120
23	3	8	30
23	3	9	387
23	3	10	865
24	4	1	320
24	4	2	97
24	4	3	192
24	4	4	447
24	4	6	135
24	4	7	212
24	4	8	46
24	4	9	315
24	4	10	491
25	5	1	374
25	5	2	345
25	5	3	209
25	5	4	192
25	5	6	166
25	5	7	180
25	5	9	368
25	5	10	329
26	6	1	62
26	6	4	22
26	6	6	6
26	6	7	32
26	6	9	46
26	6	10	51
27	7	1	27
28	1	1	424
28	1	2	239
28	1	3	470
28	1	4	767
28	1	6	147
28	1	7	206
28	1	8	25
28	1	9	503
28	1	10	968
29	2	1	780
29	2	2	365
29	2	3	261
29	2	4	697
29	2	6	196
29	2	7	257
29	2	8	63
29	2	9	552
29	2	10	618
30	3	1	524
30	3	2	526
30	3	3	366
30	3	4	508
30	3	6	188
30	3	7	270
30	3	8	89
30	3	9	544
30	3	10	601
31	4	1	343
31	4	2	340
31	4	3	264
31	4	4	224
31	4	6	148
31	4	7	212
31	4	9	439
31	4	10	604
32	5	1	524
32	5	2	345
32	5	3	366
32	5	4	523
32	5	6	185
32	5	7	232
32	5	8	51
32	5	9	466
32	5	10	515
33	6	1	62
33	6	2	33
33	6	4	44
33	6	6	6
33	6	7	32
33	6	8	32
33	6	9	92
33	6	10	51
34	7	6	5
34	7	9	27
35	1	1	898
35	1	2	663
35	1	3	392
35	1	4	802
35	1	6	209
35	1	7	386
35	1	8	25
35	1	9	835
35	1	10	1071
36	2	1	499
36	2	2	630
36	2	3	196
36	2	4	871
36	2	6	214
36	2	7	322
36	2	8	127
36	2	9	813
36	2	10	978
37	3	1	902
37	3	2	588
37	3	3	305
37	3	4	976
37	3	6	283
37	3	7	270
37	3	8	30
37	3	9	759
37	3	10	1129
38	4	1	503
38	4	2	365
38	4	3	216
38	4	4	479
38	4	6	183
38	4	7	118
38	4	8	23
38	4	9	720
38	4	10	717
39	5	1	100
39	5	2	159
39	5	3	26
39	5	4	174
39	5	6	57
39	5	7	77
39	5	9	135
39	5	10	185
40	4	9	11
40	4	10	19
41	5	7	26
42	6	1	842
42	6	2	332
42	6	3	229
42	6	4	762
42	6	6	160
42	6	7	32
42	6	9	614
42	6	10	746
43	7	1	946
43	7	2	316
43	7	3	57
43	7	4	812
43	7	6	165
43	7	9	598
43	7	10	602
44	1	1	599
44	1	2	186
44	1	3	105
44	1	4	488
44	1	6	147
44	1	7	26
44	1	8	25
44	1	9	479
44	1	10	432
45	2	1	624
45	2	2	199
45	2	3	131
45	2	4	348
45	2	6	131
45	2	7	193
45	2	8	32
45	2	9	644
45	2	10	309
46	3	1	553
46	3	2	371
46	3	3	122
46	3	4	468
46	3	6	144
46	3	7	150
46	3	8	30
46	3	9	530
46	3	10	408
47	4	1	480
47	4	2	170
47	4	3	120
47	4	4	351
47	4	6	118
47	4	7	118
47	4	8	46
47	4	9	360
47	4	10	434
48	5	1	374
48	5	2	186
48	5	3	131
48	5	4	418
48	5	6	105
48	5	7	77
48	5	9	466
48	5	10	268
49	6	6	6
49	6	7	32
49	6	9	15
49	6	10	26
50	7	9	13
51	1	1	424
51	1	2	292
51	1	3	105
51	1	4	592
51	1	6	124
51	1	7	129
51	1	9	368
51	1	10	227
52	2	1	312
52	2	2	199
52	2	3	229
52	2	4	436
52	2	6	143
52	2	7	97
52	2	9	491
52	2	10	232
53	3	1	204
53	3	2	186
53	3	3	152
53	3	4	590
53	3	6	133
53	3	7	120
53	3	9	272
53	3	10	312
54	4	1	274
54	4	2	24
54	4	3	144
54	4	4	208
54	4	6	87
54	4	7	165
54	4	9	236
54	4	10	321
55	5	1	399
55	5	2	80
55	5	3	209
55	5	4	314
55	5	6	128
55	5	7	51
55	5	8	25
55	5	9	381
55	5	10	453
56	6	1	31
56	6	9	61
57	1	1	474
57	1	2	239
57	1	3	209
57	1	4	401
57	1	6	114
57	1	7	103
57	1	9	466
57	1	10	227
58	2	1	281
58	2	2	464
58	2	3	229
58	2	4	544
58	2	6	160
58	2	7	161
58	2	9	384
58	2	10	463
59	3	1	437
59	3	2	124
59	3	3	91
59	3	4	468
59	3	6	139
59	3	7	120
59	3	9	573
59	3	10	336
60	4	1	252
60	4	2	97
60	4	3	168
60	4	4	335
60	4	6	96
60	4	7	142
60	4	8	23
60	4	9	338
60	4	10	415
61	5	1	150
61	5	2	133
61	5	3	131
61	5	4	261
61	5	6	95
61	5	7	180
61	5	8	25
61	5	9	233
61	5	10	412
62	6	1	94
62	6	4	44
62	6	6	12
62	6	9	61
62	6	10	51
63	7	4	19
63	7	6	5
63	7	7	28
63	7	9	27
63	7	10	22
64	1	1	299
64	1	2	398
64	1	3	287
64	1	4	732
64	1	6	124
64	1	7	154
64	1	9	368
64	1	10	371
65	2	1	499
65	2	2	199
65	2	3	229
65	2	4	436
65	2	6	71
65	2	7	225
65	2	9	384
65	2	10	489
66	3	1	175
66	3	2	31
66	3	3	183
66	3	4	407
66	3	6	89
66	3	7	150
66	3	8	30
66	3	9	387
66	3	10	384
67	4	1	297
67	4	2	73
67	4	3	168
67	4	4	303
67	4	6	131
67	4	7	71
67	4	8	23
67	4	9	236
67	4	10	283
68	5	1	225
68	5	2	159
68	5	3	209
68	5	4	261
68	5	6	157
68	5	7	206
68	5	9	282
68	5	10	329
69	6	3	33
69	6	6	6
69	6	9	46
69	6	10	26
70	7	1	54
70	7	6	5
71	1	1	474
71	1	2	27
71	1	3	131
71	1	4	470
71	1	6	143
71	1	7	180
71	1	8	25
71	1	9	466
71	1	10	391
72	2	1	437
72	2	2	199
72	2	3	229
72	2	4	457
72	2	6	143
72	2	7	161
72	2	8	32
72	2	9	598
72	2	10	335
73	3	1	262
73	3	2	186
73	3	3	244
73	3	4	346
73	3	6	100
73	3	7	240
73	3	9	358
73	3	10	240
74	4	1	229
74	4	2	243
74	4	3	192
74	4	4	367
74	4	6	126
74	4	7	142
74	4	8	70
74	4	9	259
74	4	10	359
75	5	1	374
75	5	2	212
75	5	3	157
75	5	4	418
75	5	6	95
75	5	7	154
75	5	9	209
75	5	10	371
76	6	1	31
76	6	4	44
76	6	7	64
76	6	9	15
76	6	10	51
77	7	1	27
78	1	1	274
78	1	2	80
78	1	3	209
78	1	4	401
78	1	6	119
78	1	7	257
78	1	9	246
78	1	10	474
79	2	1	312
79	2	2	365
79	2	3	229
79	2	4	479
79	2	6	184
79	2	7	161
79	2	8	32
79	2	9	322
79	2	10	283
80	3	1	291
80	3	2	155
80	3	3	61
80	3	4	305
80	3	6	111
80	3	7	240
80	3	8	30
80	3	9	272
80	3	10	336
81	4	1	252
81	4	2	146
81	4	3	168
81	4	4	240
81	4	6	96
81	4	7	142
81	4	9	225
81	4	10	321
82	5	1	299
82	5	2	371
82	5	3	340
82	5	4	227
82	5	6	147
82	5	7	283
82	5	8	101
82	5	9	344
82	5	10	453
83	6	1	62
83	6	4	22
83	6	6	12
83	6	9	92
83	6	10	26
84	7	1	27
84	7	10	22
85	1	1	299
85	1	2	186
85	1	3	78
85	1	4	157
85	1	6	86
85	1	7	26
85	1	8	25
85	1	9	86
85	1	10	144
86	2	1	312
86	2	2	431
86	2	3	327
86	2	4	501
86	2	6	160
86	2	7	129
86	2	8	63
86	2	9	660
86	2	10	592
87	3	1	582
87	3	2	464
87	3	3	335
87	3	4	366
87	3	6	166
87	3	7	330
87	3	8	59
87	3	9	587
87	3	10	577
88	4	1	23
88	4	3	24
88	4	4	16
88	4	7	47
89	5	4	17
89	5	7	26
89	5	9	12
89	5	10	21
90	6	6	6
91	7	1	324
91	7	2	287
91	7	3	198
91	7	4	415
91	7	6	103
91	7	7	167
91	7	9	359
91	7	10	491
92	1	1	349
92	1	2	159
92	1	3	26
92	1	4	453
92	1	6	71
92	1	7	180
92	1	8	101
92	1	9	552
92	1	10	309
93	2	1	374
93	2	2	265
93	2	3	196
93	2	4	327
93	2	6	166
93	2	7	290
93	2	9	399
93	2	10	798
94	3	1	233
94	3	2	217
94	3	3	91
94	3	4	264
94	3	6	172
94	3	7	150
94	3	9	401
94	3	10	529
95	4	1	252
95	4	2	195
95	4	3	144
95	4	4	112
95	4	6	96
95	4	7	71
95	4	8	46
95	4	9	248
95	4	10	321
96	5	1	274
96	5	2	159
96	5	3	131
96	5	4	279
96	5	6	185
96	5	7	154
96	5	8	25
96	5	9	368
96	5	10	432
97	6	6	12
97	6	9	46
97	6	10	26
98	1	1	449
98	1	2	159
98	1	3	209
98	1	4	488
98	1	6	195
98	1	7	129
98	1	9	417
98	1	10	577
99	2	1	343
99	2	2	199
99	2	3	327
99	2	4	523
99	2	6	178
99	2	7	129
99	2	8	32
99	2	9	292
99	2	10	463
100	3	1	175
100	3	2	248
100	3	3	122
100	3	4	346
100	3	6	139
100	3	7	240
100	3	8	89
100	3	9	329
100	3	10	577
101	4	1	252
101	4	2	122
101	4	3	144
101	4	4	367
101	4	6	113
101	4	7	189
101	4	9	270
101	4	10	340
102	5	1	175
102	5	2	80
102	5	3	131
102	5	4	314
102	5	6	95
102	5	7	77
102	5	9	344
102	5	10	432
103	6	2	33
103	6	3	33
103	6	4	22
103	6	7	32
103	6	9	15
104	7	1	27
104	7	6	15
104	7	7	84
104	7	9	27
104	7	10	22
105	1	1	399
105	1	2	212
105	1	3	157
105	1	4	540
105	1	6	143
105	1	7	335
105	1	9	430
105	1	10	597
106	2	1	281
106	2	2	166
106	2	3	65
106	2	4	261
106	2	6	148
106	2	7	354
106	2	8	63
106	2	9	322
106	2	10	360
107	3	1	407
107	3	2	186
107	3	3	91
107	3	4	244
107	3	6	89
107	3	7	180
107	3	9	258
107	3	10	360
108	4	1	137
108	4	2	170
108	4	3	216
108	4	4	319
108	4	6	100
108	4	7	165
108	4	9	315
108	4	10	283
109	5	1	249
109	5	2	159
109	5	3	105
109	5	4	314
109	5	6	133
109	5	7	154
109	5	8	25
109	5	9	577
109	5	10	556
110	6	1	343
110	6	2	199
110	6	3	163
110	6	4	131
110	6	6	119
110	6	7	225
110	6	9	537
110	6	10	360
111	7	1	243
111	7	2	172
111	7	3	113
111	7	4	245
111	7	6	113
111	7	7	167
111	7	9	306
111	7	10	781
112	1	2	27
112	1	4	35
112	1	7	26
112	1	9	12
113	2	6	6
114	3	6	11
115	4	1	617
115	4	2	292
115	4	3	144
115	4	4	607
115	4	6	213
115	4	7	71
115	4	8	70
115	4	9	608
115	4	10	755
116	5	1	399
116	5	2	133
116	5	3	183
116	5	4	488
116	5	6	124
116	5	7	206
116	5	8	76
116	5	9	356
116	5	10	288
117	6	1	31
117	6	6	12
117	6	7	32
117	6	9	15
117	6	10	26
118	7	9	13
119	1	1	374
119	1	2	371
119	1	3	209
119	1	4	488
119	1	6	181
119	1	7	103
119	1	8	25
119	1	9	503
119	1	10	597
120	2	1	312
120	2	2	464
120	2	3	392
120	2	4	544
120	2	6	184
120	2	7	161
120	2	8	32
120	2	9	460
120	2	10	669
121	3	1	146
121	3	2	279
121	3	3	335
121	3	4	468
121	3	6	166
121	3	7	270
121	3	8	59
121	3	9	315
121	3	10	769
122	4	1	183
122	4	2	97
122	4	3	72
122	4	4	303
122	4	6	87
122	4	7	283
122	4	8	46
122	4	9	315
122	4	10	264
123	5	1	299
123	5	2	212
123	5	3	261
123	5	4	261
123	5	6	176
123	5	7	129
123	5	9	368
123	5	10	556
124	6	1	31
124	6	4	22
124	6	6	71
124	6	9	46
124	6	10	51
125	7	1	54
126	1	1	399
126	1	2	265
126	1	3	287
126	1	4	348
126	1	6	128
126	1	7	129
126	1	8	25
126	1	9	270
126	1	10	618
127	2	1	249
127	2	2	398
127	2	3	163
127	2	4	414
127	2	6	113
127	2	7	354
127	2	9	445
127	2	10	541
128	3	1	233
128	3	2	217
128	3	3	396
128	3	4	346
128	3	6	133
128	3	7	210
128	3	9	258
128	3	10	529
129	4	1	229
129	4	2	195
129	4	3	96
129	4	4	176
129	4	6	91
129	4	7	236
129	4	9	248
129	4	10	359
130	5	1	274
130	5	2	186
130	5	3	183
130	5	4	505
130	5	6	138
130	5	7	335
130	5	8	25
130	5	9	381
130	5	10	556
131	6	2	33
131	6	4	22
131	6	6	12
131	6	7	32
131	6	9	61
132	1	1	349
132	1	2	133
132	1	3	261
132	1	4	366
132	1	6	81
132	1	7	257
132	1	8	51
132	1	9	393
132	1	10	535
133	2	1	249
133	2	2	332
133	2	3	229
133	2	4	370
133	2	6	214
133	2	7	418
133	2	9	353
133	2	10	669
134	3	1	407
134	3	2	836
134	3	3	793
134	3	4	488
134	3	6	704
134	3	7	871
134	3	8	89
134	3	9	1146
134	3	10	1730
135	4	1	252
135	4	2	389
135	4	3	335
135	4	4	176
135	4	6	305
135	4	7	495
135	4	9	563
135	4	10	566
136	5	1	225
136	5	2	212
136	5	3	340
136	5	4	174
136	5	6	157
136	5	7	412
136	5	8	51
136	5	9	381
136	5	10	638
137	6	1	31
137	6	3	65
137	6	6	18
137	6	9	153
137	6	10	51
138	7	9	13
139	1	1	374
139	1	2	186
139	1	3	105
139	1	4	401
139	1	6	133
139	1	7	232
139	1	8	51
139	1	9	491
139	1	10	432
140	2	1	437
140	2	2	265
140	2	3	196
140	2	4	436
140	2	6	232
140	2	7	129
140	2	9	430
140	2	10	618
141	3	1	291
141	3	2	310
141	3	3	244
141	3	4	183
141	3	6	144
141	3	7	270
141	3	9	301
141	3	10	408
142	4	1	252
142	4	2	97
142	4	3	240
142	4	4	240
142	4	6	105
142	4	7	94
142	4	8	70
142	4	9	428
142	4	10	491
143	5	1	374
143	5	2	80
143	5	3	314
143	5	4	314
143	5	6	138
143	5	7	154
143	5	9	258
143	5	10	309
144	6	1	31
144	6	2	33
144	6	7	32
144	6	9	15
144	6	10	51
145	1	1	374
145	1	2	318
145	1	3	444
145	1	4	418
145	1	6	157
145	1	7	232
145	1	9	479
145	1	10	474
146	2	1	374
146	2	2	265
146	2	3	294
146	2	4	544
146	2	6	202
146	2	7	257
146	2	8	95
146	2	9	522
146	2	10	515
147	3	1	175
147	3	2	279
147	3	3	183
147	3	4	468
147	3	6	122
147	3	7	120
147	3	8	59
147	3	9	430
147	3	10	336
148	4	1	274
148	4	2	97
148	4	3	216
148	4	4	303
148	4	6	152
148	4	7	260
148	4	8	23
148	4	9	281
148	4	10	434
149	5	1	175
149	5	2	265
149	5	3	105
149	5	4	192
149	5	6	76
149	5	7	386
149	5	9	209
149	5	10	329
150	6	1	156
150	6	2	199
150	6	3	196
150	6	4	218
150	6	6	154
150	6	7	129
150	6	9	338
150	6	10	309
151	7	1	135
151	7	2	172
151	7	3	85
151	7	4	170
151	7	6	124
151	7	7	84
151	7	9	293
151	7	10	402
152	1	4	17
152	1	10	21
153	2	9	15
154	4	1	297
154	4	2	243
154	4	3	264
154	4	4	527
154	4	6	113
154	4	7	283
154	4	9	416
154	4	10	623
155	5	1	225
155	5	2	133
155	5	3	52
155	5	4	261
155	5	6	162
155	5	7	257
155	5	9	393
155	5	10	432
156	6	2	99
156	6	3	33
156	6	4	65
156	6	6	12
156	6	8	32
156	6	9	31
156	6	10	26
157	7	9	13
158	1	1	225
158	1	2	159
158	1	3	287
158	1	4	401
158	1	6	90
158	1	7	309
158	1	8	51
158	1	9	405
158	1	10	288
159	2	1	187
159	2	2	298
159	2	3	490
159	2	4	305
159	2	6	154
159	2	7	97
159	2	8	63
159	2	9	445
159	2	10	644
160	3	1	291
160	3	2	155
160	3	3	274
160	3	4	244
160	3	6	177
160	3	7	330
160	3	9	286
160	3	10	577
161	4	1	206
161	4	2	219
161	4	3	168
161	4	4	240
161	4	6	157
161	4	7	189
161	4	8	23
161	4	9	270
161	4	10	321
162	5	1	175
162	5	2	212
162	5	3	131
162	5	4	244
162	5	6	152
162	5	7	257
162	5	9	258
162	5	10	268
163	6	1	31
163	6	3	65
163	6	6	12
163	6	7	32
163	6	10	26
164	7	1	27
164	7	6	5
164	7	10	22
165	1	1	274
165	1	2	212
165	1	3	78
165	1	4	418
165	1	6	124
165	1	7	257
165	1	8	25
165	1	9	258
165	1	10	391
166	2	1	94
166	2	2	199
166	2	3	261
166	2	4	653
166	2	6	166
166	2	7	161
166	2	9	338
166	2	10	592
167	3	1	116
167	3	2	310
167	3	3	183
167	3	4	122
167	3	6	194
167	3	7	180
167	3	9	301
167	3	10	288
168	4	1	229
168	4	2	170
168	4	3	120
168	4	4	208
168	4	6	122
168	4	7	165
168	4	9	360
168	4	10	208
169	5	1	449
169	5	2	159
169	5	3	209
169	5	4	348
169	5	6	162
169	5	7	180
169	5	9	258
169	5	10	535
170	6	1	94
170	6	3	98
170	6	6	42
170	6	7	129
170	6	9	46
170	6	10	77
171	7	9	13
172	1	1	299
172	1	2	292
172	1	3	235
172	1	4	418
172	1	6	124
172	1	7	129
172	1	8	76
172	1	9	442
172	1	10	721
173	2	1	530
173	2	2	232
173	2	3	131
173	2	4	348
173	2	6	208
173	2	7	354
173	2	9	552
173	2	10	335
174	3	1	437
174	3	2	93
174	3	3	183
174	3	4	366
174	3	6	205
174	3	7	390
174	3	8	30
174	3	9	945
174	3	10	553
175	4	1	206
175	4	2	170
175	4	3	144
175	4	4	224
175	4	6	152
175	4	7	142
175	4	9	360
175	4	10	302
176	5	1	200
176	5	2	159
176	5	3	314
176	5	4	331
176	5	6	138
176	5	7	309
176	5	8	25
176	5	9	835
176	5	10	474
177	6	4	65
177	6	6	30
177	6	9	215
178	7	3	28
178	7	7	28
179	1	1	299
179	1	2	212
179	1	3	105
179	1	4	436
179	1	6	176
179	1	7	438
179	1	9	896
179	1	10	494
180	2	1	94
180	2	2	398
180	2	3	196
180	2	4	283
180	2	6	125
180	2	7	386
180	2	8	32
180	2	9	1151
180	2	10	360
181	3	1	233
181	3	2	186
181	3	3	305
181	3	4	325
181	3	6	150
181	3	7	180
181	3	9	301
181	3	10	505
182	4	1	160
182	4	2	122
182	4	3	120
182	4	4	128
182	4	6	113
182	4	7	94
182	4	9	236
182	4	10	245
183	5	1	299
183	5	2	239
183	5	3	209
183	5	4	261
183	5	6	195
183	5	7	51
183	5	8	25
183	5	9	196
183	5	10	432
184	6	3	65
184	6	4	22
184	6	6	42
184	6	7	64
184	6	9	46
184	6	10	26
185	1	1	274
185	1	2	186
185	1	3	261
185	1	4	418
185	1	6	166
185	1	7	309
185	1	8	51
185	1	9	454
185	1	10	597
186	2	1	343
186	2	2	166
186	2	3	327
186	2	4	305
186	2	6	255
186	2	7	225
186	2	9	368
186	2	10	489
187	3	1	495
187	3	2	124
187	3	3	61
187	3	4	264
187	3	6	166
187	3	7	150
187	3	8	30
187	3	9	401
187	3	10	456
188	4	1	137
188	4	2	122
188	4	3	48
188	4	4	144
188	4	6	126
188	4	7	307
188	4	8	23
188	4	9	225
188	4	10	359
189	5	1	299
189	5	2	106
189	5	3	209
189	5	4	331
189	5	6	90
189	5	7	129
189	5	8	76
189	5	9	246
189	5	10	412
190	6	4	22
190	6	6	24
190	6	7	64
190	6	10	26
191	1	1	299
191	1	2	239
191	1	3	183
191	1	4	261
191	1	6	280
191	1	7	283
191	1	8	25
191	1	9	479
191	1	10	515
192	2	1	156
192	2	2	199
192	2	3	425
192	2	4	544
192	2	6	261
192	2	7	290
192	2	8	32
192	2	9	598
192	2	10	721
193	3	1	175
193	3	2	217
193	3	3	152
193	3	4	163
193	3	6	150
193	3	7	90
193	3	9	659
193	3	10	384
194	4	1	252
194	4	2	170
194	4	3	168
194	4	4	96
194	4	6	148
194	4	7	165
194	4	9	653
194	4	10	321
195	5	1	200
195	5	2	186
195	5	3	392
195	5	4	192
195	5	6	133
195	5	7	129
195	5	9	417
195	5	10	453
196	6	3	33
196	6	6	42
196	6	7	32
196	6	9	261
196	6	10	26
197	7	6	10
197	7	7	28
197	7	9	13
198	1	1	249
198	1	2	292
198	1	3	183
198	1	4	331
198	1	6	138
198	1	7	154
198	1	8	101
198	1	9	896
198	1	10	577
199	2	1	156
199	2	2	431
199	2	3	294
199	2	4	370
199	2	6	178
199	2	7	257
199	2	9	921
199	2	10	566
200	3	1	116
200	3	2	217
200	3	3	274
200	3	4	244
200	3	6	116
200	3	7	150
200	3	9	644
200	3	10	408
201	4	1	206
201	4	2	170
201	4	3	335
201	4	4	240
201	4	6	179
201	4	7	260
201	4	8	23
201	4	9	371
201	4	10	472
202	5	1	349
202	5	2	212
202	5	3	131
202	5	4	418
202	5	6	152
202	5	7	283
202	5	8	51
202	5	9	786
202	5	10	515
203	6	4	65
203	6	6	24
203	6	7	32
203	6	9	184
204	1	1	125
204	1	2	265
204	1	3	209
204	1	4	296
204	1	6	124
204	1	7	206
204	1	8	25
204	1	9	724
204	1	10	721
205	2	1	249
205	2	2	133
205	2	3	294
205	2	4	436
205	2	6	178
205	2	7	97
205	2	9	706
205	2	10	489
206	3	1	175
206	3	2	340
206	3	3	61
206	3	4	264
206	3	6	238
206	3	7	120
206	3	9	301
206	3	10	529
207	4	1	274
207	4	2	462
207	4	3	264
207	4	4	176
207	4	6	161
207	4	7	212
207	4	8	23
207	4	9	236
207	4	10	566
208	5	1	175
208	5	2	133
208	5	3	287
208	5	4	139
208	5	6	143
208	5	7	51
208	5	8	51
208	5	9	417
208	5	10	288
209	6	6	12
209	6	9	31
210	1	1	374
210	1	2	186
210	1	3	261
210	1	4	418
210	1	6	204
210	1	7	206
210	1	8	25
210	1	9	454
210	1	10	371
211	2	1	312
211	2	2	133
211	2	3	261
211	2	4	218
211	2	6	131
211	2	7	161
211	2	9	476
211	2	10	669
212	3	1	437
212	3	2	279
212	3	3	152
212	3	4	264
212	3	6	144
212	3	7	180
212	3	8	59
212	3	9	315
212	3	10	480
213	4	1	206
213	4	2	122
213	4	3	311
213	4	4	160
213	4	6	144
213	4	7	94
213	4	8	23
213	4	9	259
213	4	10	302
214	5	1	100
214	5	2	53
214	5	3	78
214	5	4	105
214	5	6	171
214	5	7	360
214	5	9	246
214	5	10	412
215	6	1	31
215	6	2	33
215	6	3	33
215	6	4	44
215	6	6	48
215	6	7	64
215	6	9	123
215	6	10	103
216	7	9	13
217	1	1	349
217	1	2	265
217	1	3	209
217	1	4	505
217	1	6	257
217	1	7	232
217	1	8	25
217	1	9	614
217	1	10	782
218	2	1	218
218	2	2	332
218	2	3	261
218	2	4	414
218	2	6	154
218	2	7	515
218	2	8	63
218	2	9	368
218	2	10	746
219	3	1	58
219	3	2	155
219	3	3	91
219	3	4	41
219	3	6	128
219	3	7	210
219	3	9	158
219	3	10	384
220	4	1	206
220	4	2	268
220	4	3	192
220	4	4	208
220	4	6	235
220	4	7	283
220	4	9	293
220	4	10	529
221	5	1	249
221	5	2	186
221	5	3	183
221	5	4	296
221	5	6	133
221	5	7	206
221	5	8	51
221	5	9	295
221	5	10	535
222	6	3	65
222	6	4	44
222	6	6	18
222	6	7	64
222	6	9	61
223	1	1	324
223	1	2	159
223	1	3	261
223	1	4	610
223	1	6	138
223	1	7	206
223	1	8	51
223	1	9	270
223	1	10	494
224	2	1	249
224	2	2	166
224	2	3	327
224	2	4	392
224	2	6	137
224	2	7	257
224	2	9	384
224	2	10	463
225	3	1	349
225	3	2	186
225	3	3	335
225	3	4	264
225	3	6	177
225	3	7	270
225	3	9	387
225	3	10	649
226	4	1	206
226	4	2	146
226	4	3	216
226	4	4	224
226	4	6	170
226	4	7	118
226	4	9	529
226	4	10	453
227	5	1	274
227	5	2	159
227	5	3	209
227	5	4	227
227	5	6	128
227	5	7	129
227	5	8	51
227	5	9	663
227	5	10	268
228	6	1	31
228	6	3	33
228	6	4	22
228	6	6	12
228	6	9	276
228	6	10	51
229	7	7	28
230	1	1	225
230	1	2	265
230	1	3	183
230	1	4	418
230	1	6	133
230	1	7	180
230	1	8	76
230	1	9	675
230	1	10	494
231	2	1	343
231	2	2	232
231	2	3	131
231	2	4	501
231	2	6	184
231	2	7	611
231	2	8	95
231	2	9	951
231	2	10	541
232	3	1	262
232	3	2	186
232	3	3	244
232	3	4	346
232	3	6	128
232	3	7	330
232	3	8	89
232	3	9	544
232	3	10	408
233	4	1	137
233	4	2	122
233	4	3	287
233	4	4	240
233	4	6	152
233	4	7	283
233	4	9	281
233	4	10	170
234	5	1	225
234	5	2	133
234	5	3	183
234	5	4	244
234	5	6	176
234	5	7	257
234	5	8	25
234	5	9	368
234	5	10	432
235	6	3	33
235	6	4	109
235	6	6	24
235	6	7	64
235	6	9	15
235	6	10	154
236	1	1	374
236	1	2	159
236	1	3	235
236	1	4	470
236	1	6	185
236	1	7	103
236	1	8	25
236	1	9	393
236	1	10	247
237	2	1	187
237	2	2	166
237	2	3	261
237	2	4	501
237	2	6	220
237	2	7	225
237	2	8	32
237	2	9	430
237	2	10	541
238	3	1	204
238	3	2	93
238	3	3	305
238	3	4	325
238	3	6	172
238	3	7	210
238	3	9	444
238	3	10	408
239	4	1	183
239	4	2	195
239	4	3	264
239	4	4	447
239	4	6	174
239	4	7	307
239	4	9	338
239	4	10	378
240	5	1	175
240	5	2	80
240	5	3	340
240	5	4	314
240	5	6	204
240	5	7	257
240	5	8	25
240	5	9	221
240	5	10	206
241	6	2	33
241	6	3	33
