date	brand	cnt
1202	6	342
1202	7	393
1202	8	304
1202	9	536
1202	10	247
1203	1	102
1203	3	107
1203	4	48
1203	5	220
1203	6	97
1203	8	173
1203	9	117
1203	10	28
1204	10	24
1205	1	653
1205	2	405
1205	3	342
1205	4	380
1205	5	558
1205	6	295
1205	7	337
1205	8	664
1205	9	536
1205	10	651
1206	1	170
1206	2	253
1206	3	285
1206	4	594
1206	5	734
1206	6	311
1206	7	491
1206	8	484
1206	9	519
1206	10	281
1207	1	254
1207	2	135
1207	3	299
1207	4	288
1207	5	754
1207	6	181
1207	7	164
1207	8	452
1207	9	531
1207	10	341
1208	1	200
1208	2	80
1208	3	78
1208	4	296
1208	5	269
1208	6	185
1208	7	335
1208	8	228
1208	9	295
1208	10	288
1209	1	381
1209	2	347
1209	3	342
1209	4	323
1209	5	411
1209	6	311
1209	7	393
1209	8	470
1209	9	549
1209	10	539
1210	1	238
1210	2	36
1210	3	178
1210	4	143
1210	5	184
1210	6	84
1210	7	105
1210	8	207
1210	9	167
1210	10	56
1211	6	6
1212	1	435
1212	2	203
1212	3	456
1212	4	475
1212	5	676
1212	6	301
1212	7	309
1212	8	636
1212	9	616
1212	10	382
1213	1	442
1213	2	434
1213	3	428
1213	4	475
1213	5	734
1213	6	305
1213	7	386
1213	8	760
1213	9	519
1213	10	393
1214	1	95
1214	2	236
1214	3	266
1214	4	222
1214	5	480
1214	6	163
1214	7	229
1214	8	516
1214	9	625
1214	10	157
1215	1	150
1215	3	235
1215	4	314
1215	5	431
1215	6	295
1215	7	103
1215	8	482
1215	9	381
1215	10	391
1216	1	245
1216	2	174
1216	3	200
1216	4	342
1216	5	264
1216	6	316
1216	7	337
1216	8	332
1216	9	549
1216	10	225
1217	1	170
1217	2	109
1217	3	178
1217	4	95
1217	5	257
1217	6	104
1217	7	246
1217	8	35
1217	9	184
1217	10	56
1218	7	30
1219	1	245
1219	2	232
1219	3	342
1219	4	399
1219	5	382
1219	6	425
1219	7	477
1219	8	387
1219	9	549
1219	10	472
1220	1	442
1220	2	326
1220	3	570
1220	4	380
1220	5	661
1220	6	577
1220	7	562
1220	8	553
1220	9	569
1220	10	477
1221	1	476
1221	2	101
1221	3	266
1221	4	377
1221	5	377
1221	6	206
1221	7	229
1221	8	355
1221	9	422
1221	10	472
1222	1	424
1222	2	265
1222	3	183
1222	4	209
1222	5	485
1222	6	428
1222	7	360
1222	8	355
1222	9	491
1222	10	227
1223	1	272
1223	2	145
1223	3	114
1223	4	247
1223	5	441
1223	6	295
1223	7	225
1223	8	276
1223	9	562
1223	10	202
1224	1	34
1224	2	109
1224	3	107
1224	4	95
1224	5	220
1224	6	97
1224	7	246
1224	8	242
1224	9	134
1224	10	112
1225	1	381
1225	2	203
1225	3	371
1225	4	437
1225	5	676
1225	6	368
1225	7	505
1225	8	636
1225	9	603
1225	10	517
1226	1	340
1226	2	470
1226	3	392
1226	4	594
1226	5	808
1226	6	531
1226	7	562
1226	8	864
1226	9	603
1226	10	534
1227	1	286
1227	2	236
1227	3	333
1227	4	421
1227	5	685
1227	6	333
1227	7	491
1227	8	677
1227	9	641
1227	10	419
1228	5	27
1228	9	12
1228	10	21
1229	6	6
1229	10	28
1230	1	413
1230	2	439
1230	3	247
1230	4	680
1230	5	636
1230	6	331
1230	7	365
1230	8	1288
1230	9	1117
1230	10	681
1231	1	517
1231	2	521
1231	3	570
1231	4	418
1231	5	529
1231	6	415
1231	7	253
1231	8	1051
1231	9	884
1231	10	314
1232	1	680
1232	2	760
1232	3	677
1232	4	737
1232	5	808
1232	6	765
1232	7	702
1232	8	1279
1232	9	1707
1232	10	786
1233	1	540
1233	2	507
1233	3	333
1233	4	621
1233	5	1474
1233	6	520
1233	7	655
1233	8	1064
1233	9	1141
1233	10	865
1234	1	299
1234	2	159
1234	3	157
1234	4	139
1234	5	458
1234	6	190
1234	7	309
1234	8	532
1234	9	442
1234	10	103
1235	1	82
1235	2	289
1235	4	190
1235	5	147
1235	6	83
1235	7	140
1235	8	276
1235	9	134
1235	10	180
1236	1	34
1236	2	72
1236	4	24
1236	5	37
1236	6	39
1236	9	67
1237	1	82
1237	2	87
1237	3	86
1237	4	95
1237	5	88
1237	6	47
1237	7	84
1237	8	83
1237	9	121
1237	10	112
1238	2	109
1238	3	107
1238	4	95
1238	5	184
1238	6	65
1238	7	105
1238	9	117
1238	10	28
1239	1	32
1239	2	101
1239	3	67
1239	4	44
1239	6	54
1239	7	66
1239	8	65
1239	9	109
1239	10	52
1240	1	25
1240	2	53
1240	3	26
1240	4	17
1240	6	29
1240	7	103
1240	8	51
1240	9	37
1240	10	21
1241	1	54
1241	2	116
1241	3	86
1241	4	19
1241	6	21
1241	9	80
1242	1	34
1242	5	37
1242	6	13
1242	9	17
1243	6	12
1243	8	32
1243	9	47
1243	10	26
1244	2	27
1244	3	78
1244	4	70
1244	6	19
1244	8	25
1244	10	41
1245	2	29
1245	4	95
1245	6	26
1245	8	83
1245	9	13
1245	10	90
1246	1	1021
1246	2	760
1246	3	748
1246	4	998
1246	5	1689
1246	6	706
1246	7	456
1246	8	1659
1246	9	1071
1246	10	1123
1247	1	649
1247	2	251
1247	3	432
1247	4	659
1247	5	955
1247	6	314
1247	7	426
1247	8	779
1247	9	798
1247	10	389
1248	1	708
1248	2	637
1248	3	342
1248	4	684
1248	5	1087
1248	6	399
1248	7	590
1248	8	1023
1248	9	937
1248	10	539
1249	1	680
1249	2	832
1249	3	570
1249	4	618
1249	5	698
1249	6	544
1249	7	562
1249	8	1140
1249	9	1004
1249	10	618
